"","X","code","flux_umolco2_m2_s","co2slope","plot_code","sub_plot","measurement_code","egm_measurement","day","month","year","hour","soil_temp_degC","vwc_percent","collar_depth_cm","PAN02","tree_num"
"1",1,"1.13.1.14",0.200526523790376,0.254943205721497,"PAN02",1,"STEM",1,13,1,14,9,24.6,NA,7,19,19
"2",2,"1.18.11.13",0.23403431797129,0.296381994110225,"PAN02",1,"STEM",1,18,11,13,12,27.4,NA,7,19,19
"3",3,"1.22.6.13",0.182095312551369,0.228439209087086,"PAN02",1,"STEM",1,22,6,13,14,24.3,NA,7,19,19
"4",4,"1.24.3.14",0.219177544636944,0.269983172065628,"PAN02",1,"STEM",1,24,3,14,17,23.4,NA,7,19,19
"5",5,"1.26.7.13",0.129767347159253,0.151346234749685,"PAN02",1,"STEM",1,26,7,13,15,21.5,NA,7,19,19
"6",6,"10.13.1.14",0.0548573455029636,0.0784602440050497,"PAN02",10,"STEM",10,13,1,14,9,24,NA,7,267,267
"7",7,"10.18.11.13",0.0900376768008514,0.0854017669331092,"PAN02",10,"STEM",10,18,11,13,14,27,NA,7,267,267
"8",8,"10.20.9.13",0.109048486294844,0.129995793016407,"PAN02",10,"STEM",10,20,9,13,14,25.5,NA,7,267,267
"9",9,"10.22.6.13",0.0366069020760469,0.0604753891459806,"PAN02",10,"STEM",10,22,6,13,12,23.4,NA,7,267,267
"10",10,"10.24.3.14",0.164106465734941,0.208561211611273,"PAN02",10,"STEM",10,24,3,14,16,23.9,NA,7,267,267
"11",11,"10.26.7.13",0.0739795037716851,0.0958140513251991,"PAN02",10,"STEM",10,26,7,13,14,22.5,NA,7,267,267
"12",12,"11.13.1.14",0.0914596881344647,0.153870424905342,"PAN02",11,"STEM",11,13,1,14,8,23.9,NA,7,283,283
"13",13,"11.18.11.13",0.125968810282956,0.176588136306267,"PAN02",11,"STEM",11,18,11,13,14,27.2,NA,7,283,283
"14",14,"11.20.9.13",0.12625093483064,0.151346234749683,"PAN02",11,"STEM",11,20,9,13,14,27.8,NA,7,283,283
"15",15,"11.22.6.13",0.0732911154553168,0.0847707193941958,"PAN02",11,"STEM",11,22,6,13,12,23.4,NA,7,283,283
"16",16,"11.24.3.14",0.182156551936791,0.234854859066049,"PAN02",11,"STEM",11,24,3,14,16,24.2,NA,7,283,283
"17",17,"11.26.7.13",0.110969255657528,0.150399663441314,"PAN02",11,"STEM",11,26,7,13,13,22.5,NA,7,283,283
"18",18,"12.13.1.14",0.310336103561785,0.386726966764826,"PAN02",12,"STEM",12,13,1,14,8,24.5,NA,7,326,326
"19",19,"12.18.11.13",0.271015965486634,0.36758519141775,"PAN02",12,"STEM",12,18,11,13,13,26,NA,7,326,326
"20",20,"12.20.9.13",0.301343238725086,0.383505154639176,"PAN02",12,"STEM",12,20,9,13,14,26.1,NA,7,326,326
"21",21,"12.22.6.13",0.164905009774463,0.193205721497687,"PAN02",12,"STEM",12,22,6,13,12,23.4,NA,7,326,326
"22",22,"12.24.3.14",0.638222585674831,0.862957509465714,"PAN02",12,"STEM",12,24,3,14,16,24.2,NA,7,326,326
"23",23,"12.26.7.13",0.203519212884709,0.252313840976019,"PAN02",12,"STEM",12,26,7,13,13,22.7,NA,7,326,326
"24",24,"13.13.1.14",0.127914378693391,0.157972233908288,"PAN02",13,"STEM",13,13,1,14,8,24.2,NA,7,342,342
"25",25,"13.18.11.13",0.126516409190723,0.159234328986113,"PAN02",13,"STEM",13,18,11,13,13,25.9,NA,7,342,342
"26",26,"13.20.9.13",0.0909651148873112,0.138935633151026,"PAN02",13,"STEM",13,20,9,13,15,25.2,NA,7,342,342
"27",27,"13.22.6.13",0.183104298974509,0.228439209087088,"PAN02",13,"STEM",13,22,6,13,12,23.6,NA,7,342,342
"28",28,"13.24.3.14",0.291941388409795,0.353386621792178,"PAN02",13,"STEM",13,24,3,14,16,23.7,NA,7,342,342
"29",29,"13.26.7.13",0.129507936077391,0.134728649558268,"PAN02",13,"STEM",13,26,7,13,13,22.4,NA,7,342,342
"30",30,"14.13.1.14",0.164793869077058,0.208245687841817,"PAN02",14,"STEM",14,13,1,14,8,23.6,NA,7,372,372
"31",31,"14.18.11.13",0.162999968689139,0.199411022297013,"PAN02",14,"STEM",14,18,11,13,13,25.6,NA,7,372,372
"32",32,"14.20.9.13",0.109121562847898,0.155237694572989,"PAN02",14,"STEM",14,20,9,13,15,25.3,NA,7,372,372
"33",33,"14.22.6.13",0.164793869077058,0.211821623895665,"PAN02",14,"STEM",14,22,6,13,11,23.6,NA,7,372,372
"34",34,"14.24.3.14",0.291857049007,0.357067732435842,"PAN02",14,"STEM",14,24,3,14,16,24.1,NA,7,372,372
"35",35,"14.26.7.13",0.0926339776487962,0.119688683214135,"PAN02",14,"STEM",14,26,7,13,13,22.3,NA,7,372,372
"36",36,"15.18.11.13",0.144695126995763,0.177850231384096,"PAN02",15,"STEM",15,18,11,13,13,26,NA,7,402,402
"37",37,"15.20.9.13",0.14544668311039,0.181426167437946,"PAN02",15,"STEM",15,20,9,13,15,25.4,NA,7,402,402
"38",38,"15.22.6.13",0.0549707098414476,0.0770929743373988,"PAN02",15,"STEM",15,22,6,13,11,23.7,NA,7,402,402
"39",39,"15.24.3.14",0.291366944810515,0.359802271771143,"PAN02",15,"STEM",15,24,3,14,15,24.6,NA,7,402,402
"40",40,"15.26.7.13",0.0370034932517652,0.041228439209089,"PAN02",15,"STEM",15,26,7,13,13,22.7,NA,7,402,402
"41",41,"16.18.11.13",0.0540766557114068,0.0681531342027755,"PAN02",16,"STEM",16,18,11,13,14,26.7,NA,7,438,438
"42",42,"16.20.9.13",0.0545973687040321,0.0784602440050456,"PAN02",16,"STEM",16,20,9,13,15,25.1,NA,7,438,438
"43",43,"16.22.6.13",0.0732695974246336,0.100967606226334,"PAN02",16,"STEM",16,22,6,13,11,23.8,NA,7,438,438
"44",44,"16.24.3.14",0.0911440030019024,0.105805637358012,"PAN02",16,"STEM",16,24,3,14,15,24.3,NA,7,438,438
"45",45,"16.26.7.13",0.0370547652139311,0.0476440891880549,"PAN02",16,"STEM",16,26,7,13,13,22.6,NA,7,438,438
"46",46,"17.13.1.14",0.146483439179607,0.18794699200673,"PAN02",17,"STEM",17,13,1,14,8,23.6,NA,7,449,449
"47",47,"17.18.11.13",0.126220958026641,0.146297854438368,"PAN02",17,"STEM",17,18,11,13,14,26.6,NA,7,449,449
"48",48,"17.20.9.13",0.127265847721591,0.156394615061002,"PAN02",17,"STEM",17,20,9,13,16,25.4,NA,7,449,449
"49",49,"17.22.6.13",0.232949574950238,0.312371134020619,"PAN02",17,"STEM",17,22,6,13,11,23.5,NA,7,449,449
"50",50,"17.24.3.14",0.30905838912293,0.411548169962138,"PAN02",17,"STEM",17,24,3,14,15,25.1,NA,7,449,449
"51",51,"17.26.7.13",0.0738821223454344,0.0973916701724857,"PAN02",17,"STEM",17,26,7,13,13,23.2,NA,7,449,449
"52",52,"18.13.1.14",0.091613894319146,0.0996003365586858,"PAN02",18,"STEM",18,13,1,14,8,23.4,NA,7,474,474
"53",53,"18.18.11.13",0.108333958343513,0.146403029028185,"PAN02",18,"STEM",18,18,11,13,14,26.2,NA,7,474,474
"54",54,"18.20.9.13",0.127180648827719,0.156394615061002,"PAN02",18,"STEM",18,20,9,13,17,25.6,NA,7,474,474
"55",55,"18.22.6.13",0.0366718472193577,0.0568994530921341,"PAN02",18,"STEM",18,22,6,13,11,23.5,NA,7,474,474
"56",56,"18.24.3.14",0.181860028126217,0.226230542700882,"PAN02",18,"STEM",18,24,3,14,15,25,NA,7,474,474
"57",57,"18.26.7.13",0.0370285252106705,0.045435422801851,"PAN02",18,"STEM",18,26,7,13,13,22.5,NA,7,474,474
"58",58,"19.13.1.14",0.0550054334948731,0.0645771981489229,"PAN02",19,"STEM",19,13,1,14,8,23.2,NA,7,511,511
"59",59,"19.18.11.13",0.0721744181386094,0.0921329406815307,"PAN02",19,"STEM",19,18,11,13,14,26.4,NA,7,511,511
"60",60,"19.22.6.13",0.091586996780792,0.124737063525452,"PAN02",19,"STEM",19,22,6,13,11,23.8,NA,7,511,511
"61",61,"19.24.3.14",0.16322727489223,0.214766512410602,"PAN02",19,"STEM",19,24,3,14,14,25.5,NA,7,511,511
"62",62,"19.26.7.13",0.0185336492677492,0.0241901556583951,"PAN02",19,"STEM",19,26,7,13,13,22.5,NA,7,511,511
"63",63,"2.13.1.14",0.236034618729674,0.29795961295751,"PAN02",2,"STEM",2,13,1,14,9,25.8,NA,7,28,28
"64",64,"2.18.11.13",0.108593946916162,0.147770298695834,"PAN02",2,"STEM",2,18,11,13,12,25.8,NA,7,28,28
"65",65,"2.22.6.13",0.0911089162630863,0.116112747160286,"PAN02",2,"STEM",2,22,6,13,14,24.1,NA,7,28,28
"66",66,"2.24.3.14",0.411375109128557,0.512371134020615,"PAN02",2,"STEM",2,24,3,14,17,22.8,NA,7,28,28
"67",67,"2.26.7.13",0.0555957089647022,0.0720445940260838,"PAN02",2,"STEM",2,26,7,13,15,21.6,NA,7,28,28
"68",68,"20.13.1.14",0.146780214676848,0.181741691207404,"PAN02",20,"STEM",20,13,1,14,8,23,NA,7,533,533
"69",69,"20.18.11.13",0.0721503318986165,0.0919225915018929,"PAN02",20,"STEM",20,18,11,13,14,26.5,NA,7,533,533
"70",70,"20.22.6.13",0.0549892340907623,0.0784602440050476,"PAN02",20,"STEM",20,22,6,13,11,23.6,NA,7,533,533
"71",71,"20.24.3.14",0.109110459731552,0.145246108540178,"PAN02",20,"STEM",20,24,3,14,14,24.7,NA,7,533,533
"72",72,"20.26.7.13",0.0185267955297592,0.0352334875893963,"PAN02",20,"STEM",20,26,7,13,13,22.3,NA,7,533,533
"73",73,"21.13.1.14",0.110085161007636,0.119899032393771,"PAN02",21,"STEM",21,13,1,14,8,23,NA,7,558,558
"74",74,"21.22.6.13",0.16502331248711,0.199200673117373,"PAN02",21,"STEM",21,22,6,13,11,23.5,NA,7,558,558
"75",75,"21.24.3.14",0.363579464463197,0.484854859066048,"PAN02",21,"STEM",21,24,3,14,14,24.8,NA,7,558,558
"76",76,"21.26.7.13",0.0555633605476768,0.0782498948254098,"PAN02",21,"STEM",21,26,7,13,12,22.7,NA,7,558,558
"77",77,"22.13.1.14",0.458998147665868,0.568047959612957,"PAN02",22,"STEM",22,13,1,14,8,22.8,NA,7,495,495
"78",78,"22.22.6.13",0.146637957575366,0.203828355069415,"PAN02",22,"STEM",22,22,6,13,11,23.6,NA,7,495,495
"79",79,"22.24.3.14",0.525954552430517,0.675115692048798,"PAN02",22,"STEM",22,24,3,14,14,25.5,NA,7,495,495
"80",80,"22.26.7.13",0.0927309765782714,0.110854017669331,"PAN02",22,"STEM",22,26,7,13,12,22.3,NA,7,495,495
"81",81,"23.13.1.14",0.165407003715938,0.223285654185946,"PAN02",23,"STEM",23,13,1,14,8,22.5,NA,7,629,629
"82",82,"23.18.11.13",0.14448516665964,0.179112326461926,"PAN02",23,"STEM",23,18,11,13,16,25.8,NA,7,629,629
"83",83,"23.22.6.13",0.183498235054591,0.234118636937316,"PAN02",23,"STEM",23,22,6,13,10,23.9,NA,7,629,629
"84",84,"23.24.3.14",0.218147678677918,0.272612536811108,"PAN02",23,"STEM",23,24,3,14,14,24.8,NA,7,629,629
"85",85,"23.26.7.13",0.11108917194141,0.145035759360541,"PAN02",23,"STEM",23,26,7,13,12,22.8,NA,7,629,629
"86",86,"24.13.1.14",0.0367585858341695,0.0531131678586518,"PAN02",24,"STEM",24,13,1,14,7,22.8,NA,7,654,654
"87",87,"24.18.11.13",0.0360971423808285,0.0518510727808146,"PAN02",24,"STEM",24,18,11,13,15,26,NA,7,654,654
"88",88,"24.20.9.13",0.126714086500854,0.156394615061002,"PAN02",24,"STEM",24,20,9,13,16,26.7,NA,7,654,654
"89",89,"24.22.6.13",0.0732695974246336,0.072885990744637,"PAN02",24,"STEM",24,22,6,13,10,23.8,NA,7,654,654
"90",90,"24.24.3.14",0.0908995262126265,0.116112747160284,"PAN02",24,"STEM",24,24,3,14,14,25.1,NA,7,654,654
"91",91,"24.26.7.13",0.03702972398047,0.0380732015145141,"PAN02",24,"STEM",24,26,7,13,12,22.8,NA,7,654,654
"92",92,"25.13.1.14",0.0734675230634643,0.0881363062684045,"PAN02",25,"STEM",25,13,1,14,7,23,NA,7,688,688
"93",93,"25.18.11.13",0.0903990924628718,0.125157761884723,"PAN02",25,"STEM",25,18,11,13,14,25.8,NA,7,688,688
"94",94,"25.20.9.13",0.127265847721591,0.167753470761465,"PAN02",25,"STEM",25,20,9,13,16,25.4,NA,7,688,688
"95",95,"25.22.6.13",0.0918418714793027,0.120109381573414,"PAN02",25,"STEM",25,22,6,13,10,23.6,NA,7,688,688
"96",96,"25.24.3.14",0.163454733368778,0.208245687841817,"PAN02",25,"STEM",25,24,3,14,13,25.4,NA,7,688,688
"97",97,"25.26.7.13",0.07418705085718,0.0921329406815307,"PAN02",25,"STEM",25,26,7,13,12,22.6,NA,7,688,688
"98",98,"3.13.1.14",0.163902015258959,0.207088767353806,"PAN02",3,"STEM",3,13,1,14,9,24.9,NA,7,65,65
"99",99,"3.18.11.13",0.145083114599572,0.181741691207402,"PAN02",3,"STEM",3,18,11,13,12,25.2,NA,7,65,65
"100",100,"3.22.6.13",0.309874562413893,0.388409760201934,"PAN02",3,"STEM",3,22,6,13,14,24,NA,7,65,65
"101",101,"3.24.3.14",0.109773857223587,0.143984013462346,"PAN02",3,"STEM",3,24,3,14,17,22.9,NA,7,65,65
"102",102,"3.26.7.13",0.0742283459253541,0.0819310054690764,"PAN02",3,"STEM",3,26,7,13,15,21.2,NA,7,65,65
"103",103,"4.13.1.14",0.437533573996461,0.553113167858644,"PAN02",4,"STEM",4,13,1,14,9,24.9,NA,7,97,97
"104",104,"4.18.11.13",0.615777659492301,0.804164913756833,"PAN02",4,"STEM",4,18,11,13,13,25.6,NA,7,97,97
"105",105,"4.20.9.13",0.493286431882047,0.624203144921377,"PAN02",4,"STEM",4,20,9,13,11,25.2,NA,7,97,97
"106",106,"4.22.6.13",0.255460859297205,0.321518721076987,"PAN02",4,"STEM",4,22,6,13,14,24,NA,7,97,97
"107",107,"4.24.3.14",0.218525208607886,0.291649137568364,"PAN02",4,"STEM",4,24,3,14,16,24.6,NA,7,97,97
"108",108,"4.26.7.13",0.148461159274385,0.176693310896087,"PAN02",4,"STEM",4,26,7,13,14,21.5,NA,7,97,97
"109",109,"5.18.11.13",0.14537547352068,0.188052166596552,"PAN02",5,"STEM",5,18,11,13,13,24.6,NA,7,107,107
"110",110,"5.20.9.13",0.0364018854864396,-0.108855700462768,"PAN02",5,"STEM",5,20,9,13,12,25.7,NA,7,107,107
"111",111,"5.22.6.13",0.164453781006338,0.204669751787966,"PAN02",5,"STEM",5,22,6,13,13,23.9,NA,7,107,107
"112",112,"5.24.3.14",0.199901613119427,0.230858224652922,"PAN02",5,"STEM",5,24,3,14,15,24.9,NA,7,107,107
"113",113,"5.26.7.13",0.0556729347278942,0.0720445940260838,"PAN02",5,"STEM",5,26,7,13,14,21.5,NA,7,107,107
"114",114,"6.18.11.13",0.127032882226009,0.161548169962135,"PAN02",6,"STEM",6,18,11,13,13,25,NA,7,142,142
"115",115,"6.20.9.13",0.108914101227657,0.145246108540174,"PAN02",6,"STEM",6,20,9,13,13,26.5,NA,7,142,142
"116",116,"6.22.6.13",0.237624345072356,0.29795961295751,"PAN02",6,"STEM",6,22,6,13,13,23.8,NA,7,142,142
"117",117,"6.24.3.14",0.569489937584188,0.708762886597938,"PAN02",6,"STEM",6,24,3,14,15,24.6,NA,7,142,142
"118",118,"6.26.7.13",0.0927252852725908,0.118531762726128,"PAN02",6,"STEM",6,26,7,13,14,21.7,NA,7,142,142
"119",119,"7.13.1.14",0.401207053483833,0.523905652358692,"PAN02",7,"STEM",7,13,1,14,9,24.8,NA,7,160,160
"120",120,"7.18.11.13",0.144252523459019,0.176693310896087,"PAN02",7,"STEM",7,18,11,13,13,26.6,NA,7,160,160
"121",121,"7.20.9.13",0.108581916510945,0.129785443836771,"PAN02",7,"STEM",7,20,9,13,13,27.1,NA,7,160,160
"122",122,"7.22.6.13",0.0913939788739832,0.12010938157341,"PAN02",7,"STEM",7,22,6,13,12,23.8,NA,7,160,160
"123",123,"7.24.3.14",-0.054683746308334,-0.156604964240637,"PAN02",7,"STEM",7,24,3,14,16,24,NA,7,160,160
"124",124,"7.26.7.13",0.0555974587953704,0.071939419436266,"PAN02",7,"STEM",7,26,7,13,14,21.9,NA,7,160,160
"125",125,"8.13.1.14",0.0365101298307982,0.0604753891459826,"PAN02",8,"STEM",8,13,1,14,9,24.5,NA,7,192,192
"126",126,"8.18.11.13",0.0724890090642764,0.0795119899032388,"PAN02",8,"STEM",8,18,11,13,13,25.1,NA,7,192,192
"127",127,"8.20.9.13",0.0543090461975867,0.0781447202355962,"PAN02",8,"STEM",8,20,9,13,13,27,NA,7,192,192
"128",128,"8.22.6.13",0.0914247668069035,0.118636937315944,"PAN02",8,"STEM",8,22,6,13,12,23.7,NA,7,192,192
"129",129,"8.24.3.14",0.0729607687737395,0.0985485906604905,"PAN02",8,"STEM",8,24,3,14,17,23.8,NA,7,192,192
"130",130,"8.26.7.13",0.0555409860083766,0.069625578460242,"PAN02",8,"STEM",8,26,7,13,14,22.2,NA,7,192,192
"131",131,"9.13.1.14",0.109236791530948,0.129995793016405,"PAN02",9,"STEM",9,13,1,14,9,25.3,NA,7,219,219
"132",132,"9.18.11.13",0.10808122123023,0.140302902818679,"PAN02",9,"STEM",9,18,11,13,14,26.9,NA,7,219,219
"133",133,"9.20.9.13",0.054560781423949,0.0933950357593571,"PAN02",9,"STEM",9,20,9,13,14,25.3,NA,7,219,219
"134",134,"9.22.6.13",0.0732138041520939,0.0885570046276822,"PAN02",9,"STEM",9,22,6,13,12,23.4,NA,7,219,219
"135",135,"9.24.3.14",0.14606910694328,0.197097181320991,"PAN02",9,"STEM",9,24,3,14,17,23.5,NA,7,219,219
"136",136,"9.26.7.13",0.0739795037716851,0.0943416070677284,"PAN02",9,"STEM",9,26,7,13,14,22.5,NA,7,219,219
