plot_code,measurement_code,treatment_code,subplot,replica,day,month,year,vwc,soil_temp,air_temp,collar_depth
ACJ,COMP,CNH,1,1,23,7,2013,18.7,8.1,8.1,0.9
ACJ,COMP,CSH,1,1,23,7,2013,11.6,8.1,8,7
ACJ,COMP,C2H,1,1,23,7,2013,15.2,7.7,8,1.1
ACJ,COMP,MNH,1,1,23,7,2013,15.8,7.7,7.7,9.4
ACJ,COMP,MSH,1,1,23,7,2013,24.7,7.7,7.8,6.1
ACJ,COMP,M2H,1,1,23,7,2013,24.1,7.7,7.9,8.5
ACJ,COMP,SNH,1,1,23,7,2013,34.1,7.6,8.1,5.2
ACJ,COMP,SSH,1,1,23,7,2013,28.9,7.6,8.1,4.5
ACJ,COMP,S2H,1,1,23,7,2013,18.9,7.5,9.5,2.2
ACJ,COMP,M,1,1,23,7,2013,38.3,7.5,9.7,5.2
ACJ,COMP,CNH,4,1,24,7,2013,7,8.2,7.7,12.9
ACJ,COMP,CSH,4,1,24,7,2013,10.2,8.3,7.5,5.8
ACJ,COMP,C2H,4,1,24,7,2013,3.7,8.7,7.5,5.7
ACJ,COMP,MNH,4,1,24,7,2013,6.3,8.3,7.5,9
ACJ,COMP,MSH,4,1,24,7,2013,10.8,8.3,7.3,6.3
ACJ,COMP,M2H,4,1,24,7,2013,4.5,8.4,7.3,1.5
ACJ,COMP,SNH,4,1,24,7,2013,18.4,8.3,7,6.2
ACJ,COMP,SSH,4,1,24,7,2013,18.9,8.3,7,12.5
ACJ,COMP,S2H,4,1,24,7,2013,16.7,8.4,7.4,6.1
ACJ,COMP,M,4,1,24,7,2013,26.9,8.4,7.4,6.3
ACJ,COMP,CNH,21,1,24,7,2013,51.5,8.3,8.8,4.3
ACJ,COMP,CSH,21,1,24,7,2013,50.5,8.5,8.8,5.8
ACJ,COMP,C2H,21,1,24,7,2013,53.4,8.5,8.8,2
ACJ,COMP,MNH,21,1,24,7,2013,47.4,8.3,8.9,8.9
ACJ,COMP,MSH,21,1,24,7,2013,48.5,8.3,8.8,6.7
ACJ,COMP,M2H,21,1,24,7,2013,50.9,8.3,8.9,4.1
ACJ,COMP,SNH,21,1,24,7,2013,51.4,8.6,8.7,8.7
ACJ,COMP,SSH,21,1,24,7,2013,55.6,8.3,8.3,13.5
ACJ,COMP,S2H,21,1,24,7,2013,52.9,9.2,9.8,10.5
ACJ,COMP,M,21,1,24,7,2013,53.4,8.3,9.9,0.7
ACJ,COMP,CNH,16,1,24,7,2013,18.4,9.1,10.2,3.9
ACJ,COMP,CSH,16,1,24,7,2013,31.1,9.6,10.1,7.8
ACJ,COMP,C2H,16,1,24,7,2013,16.8,9.1,9.9,2.4
ACJ,COMP,MNH,16,1,24,7,2013,38.9,9,9.9,7.4
ACJ,COMP,MSH,16,1,24,7,2013,38.4,9.1,8.6,10.1
ACJ,COMP,M2H,16,1,24,7,2013,37.8,9,9.1,9.9
ACJ,COMP,SNH,16,1,24,7,2013,28.2,9.1,8.5,4.5
ACJ,COMP,SSH,16,1,24,7,2013,35.4,9.1,8.6,3.8
ACJ,COMP,S2H,16,1,24,7,2013,22.5,9.2,9.3,1.6
ACJ,COMP,M,16,1,24,7,2013,16.5,9.1,9.3,4.4
ESP,COMP,CNH,1,1,24,7,2013,12.3,10.5,8.8,5.9
ESP,COMP,CSH,1,1,24,7,2013,8.4,10.5,8.8,8.7
ESP,COMP,C2H,1,1,24,7,2013,3.4,10.3,8.8,2.3
ESP,COMP,MNH,1,1,24,7,2013,20.3,10.3,9.6,4.8
ESP,COMP,MSH,1,1,24,7,2013,18.9,10.4,9.3,5.1
ESP,COMP,M2H,1,1,24,7,2013,21.4,10.2,9.6,3.8
ESP,COMP,SNH,1,1,24,7,2013,21.9,10.5,9.1,6.5
ESP,COMP,SSH,1,1,24,7,2013,10.7,10.3,9.4,7.3
ESP,COMP,S2H,1,1,24,7,2013,8.1,10,9.2,5.5
ESP,COMP,M,1,1,24,7,2013,21.2,10.5,9.1,3.4
ESP,COMP,CNH,5,1,24,7,2013,21.8,10.3,10.4,4.2
ESP,COMP,CSH,5,1,24,7,2013,19.9,10.3,10.5,4.9
ESP,COMP,C2H,5,1,24,7,2013,10.5,10.2,10.8,0.7
ESP,COMP,MNH,5,1,24,7,2013,13.9,10.5,10.9,6.7
ESP,COMP,MSH,5,1,24,7,2013,20.2,10.5,10.6,8.2
ESP,COMP,M2H,5,1,24,7,2013,27.6,10.8,10.7,6.8
ESP,COMP,SNH,5,1,24,7,2013,2.6,10.2,10.8,5.9
ESP,COMP,SSH,5,1,24,7,2013,19,10.3,10.8,4.8
ESP,COMP,S2H,5,1,24,7,2013,10.7,10.4,10.9,4.9
ESP,COMP,M,5,1,24,7,2013,27.3,10.3,10.9,4.6
ESP,COMP,CNH,21,1,25,7,2013,0.9,12.1,10,10
ESP,COMP,CSH,21,1,25,7,2013,2.9,12,6.6,6.6
ESP,COMP,C2H,21,1,25,7,2013,3,11.8,1.1,1.1
ESP,COMP,MNH,21,1,25,7,2013,7.9,12.2,8.8,8.8
ESP,COMP,MSH,21,1,25,7,2013,3.3,12,7,7
ESP,COMP,M2H,21,1,25,7,2013,8.6,2,3.8,3.8
ESP,COMP,SNH,21,1,25,7,2013,3.6,11.6,6.6,6.6
ESP,COMP,SSH,21,1,25,7,2013,5.9,12,7.6,7.6
ESP,COMP,S2H,21,1,25,7,2013,10.7,12.6,4,4
ESP,COMP,M,21,1,25,7,2013,12,12,7.4,7.4
ESP,COMP,CNH,25,1,25,7,2013,2.9,10.9,1.7,1.7
ESP,COMP,CSH,25,1,25,7,2013,5.2,10.8,6.8,6.8
ESP,COMP,C2H,25,1,25,7,2013,11.5,11,2.2,2.2
ESP,COMP,MNH,25,1,25,7,2013,8.1,10.8,5,5
ESP,COMP,MSH,25,1,25,7,2013,9.4,10.8,7.2,7.2
ESP,COMP,M2H,25,1,25,7,2013,32.5,10.7,5.7,5.7
ESP,COMP,SNH,25,1,25,7,2013,17.3,10.7,9.5,9.5
ESP,COMP,SSH,25,1,25,7,2013,20.2,10.6,8.3,8.3
ESP,COMP,S2H,25,1,25,7,2013,18.7,10.7,4.1,4.1
ESP,COMP,M,25,1,25,7,2013,34.2,11,5.9,5.9
TU4,COMP,CNH,10,1,22,7,2013,39.2,11.9,12.4,8.6
TU4,COMP,CSH,10,1,22,7,2013,36.8,11.7,12.3,8.7
TU4,COMP,C2H,10,1,22,7,2013,26.6,11.8,12.1,7.2
TU4,COMP,MNH,10,1,22,7,2013,35.3,11.8,12.1,4.2
TU4,COMP,MSH,10,1,22,7,2013,41.6,11.7,12.2,9.2
TU4,COMP,M2H,10,1,22,7,2013,44.6,11.7,12.3,3.3
TU4,COMP,SNH,10,1,22,7,2013,44.3,11.5,12.2,7.1
TU4,COMP,SSH,10,1,22,7,2013,26.3,11.7,12.1,11.8
TU4,COMP,S2H,10,1,22,7,2013,42.9,11.7,12.2,2.1
TU4,COMP,M,10,1,22,7,2013,46,11.8,12.2,2.5
TU4,COMP,CNH,5,1,22,7,2013,19.2,12.3,11.6,8.1
TU4,COMP,CSH,5,1,22,7,2013,33.5,12.4,11.6,7.8
TU4,COMP,C2H,5,1,22,7,2013,32.4,12.4,11.5,4.2
TU4,COMP,MNH,5,1,22,7,2013,30.9,12.5,11.9,3.9
TU4,COMP,MSH,5,1,22,7,2013,29.5,12.5,11.9,5.9
TU4,COMP,M2H,5,1,22,7,2013,39.7,12.6,11.9,3.5
TU4,COMP,SNH,5,1,22,7,2013,36.3,12.6,12,2.8
TU4,COMP,SSH,5,1,22,7,2013,29.5,12.5,12.2,7.8
TU4,COMP,S2H,5,1,22,7,2013,31.2,12.5,12.5,1.7
TU4,COMP,M,5,1,22,7,2013,37.4,12.7,12.4,4.5
TU4,COMP,CNH,21,1,23,7,2013,36,12.1,11.9,8.5
TU4,COMP,CSH,21,1,23,7,2013,29.5,12,11.8,4.9
TU4,COMP,C2H,21,1,23,7,2013,33.4,11.9,11.7,3.9
TU4,COMP,MNH,21,1,23,7,2013,24.1,11.8,11.8,9.8
TU4,COMP,MSH,21,1,23,7,2013,35.8,12.1,11.9,9.2
TU4,COMP,M2H,21,1,23,7,2013,36.4,12,11.8,5.4
TU4,COMP,SNH,21,1,23,7,2013,42.1,11.9,11.2,6.5
TU4,COMP,SSH,21,1,23,7,2013,39.3,11.9,11.3,8.2
TU4,COMP,S2H,21,1,23,7,2013,33.2,11.7,11.3,9.4
TU4,COMP,M,21,1,23,7,2013,44.4,11.9,11.5,5.9
TU4,COMP,CNH,25,1,23,7,2013,42.8,12.7,11.7,4.8
TU4,COMP,CSH,25,1,23,7,2013,40.8,12.6,11.7,8.7
TU4,COMP,C2H,25,1,23,7,2013,27.1,12.6,12,2.4
TU4,COMP,MNH,25,1,23,7,2013,46.8,12.6,11.7,6.5
TU4,COMP,MSH,25,1,23,7,2013,43.8,12.7,11.5,4.3
TU4,COMP,M2H,25,1,23,7,2013,44.1,12.6,11.3,1.1
TU4,COMP,SNH,25,1,23,7,2013,42.8,12.4,11.2,5.2
TU4,COMP,SSH,25,1,23,7,2013,30.6,12.6,11.3,5
TU4,COMP,S2H,25,1,23,7,2013,31.5,12.5,10.9,5.6
TU4,COMP,M,25,1,23,7,2013,29.1,12.5,11.1,3.2
WAY,COMP,CNH,1,1,25,7,2013,7.5,10.3,10.1,1.8
WAY,COMP,CSH,1,1,25,7,2013,4.5,10,9.9,7.6
WAY,COMP,C2H,1,1,25,7,2013,2.7,9.5,9.7,2.4
WAY,COMP,MNH,1,1,25,7,2013,4.8,9.8,10,5.3
WAY,COMP,MSH,1,1,25,7,2013,10.2,9.5,10,5.3
WAY,COMP,M2H,1,1,25,7,2013,4.5,9.6,10,2.2
WAY,COMP,SNH,1,1,25,7,2013,5.5,9.6,10.4,6.9
WAY,COMP,SSH,1,1,25,7,2013,7.3,9.7,10.3,8
WAY,COMP,S2H,1,1,25,7,2013,36,9.5,10.2,5.5
WAY,COMP,M,1,1,25,7,2013,7.9,10.4,10.4,5
WAY,COMP,CNH,5,1,25,7,2013,5.3,10.3,10.4,1.8
WAY,COMP,CSH,5,1,25,7,2013,16.4,9.9,10,6.6
WAY,COMP,C2H,5,1,25,7,2013,10.2,10.1,10.3,1.3
WAY,COMP,MNH,5,1,25,7,2013,12.2,9.5,10.4,7.3
WAY,COMP,MSH,5,1,25,7,2013,7.8,9.7,10.5,6.5
WAY,COMP,M2H,5,1,25,7,2013,3.9,9.9,10.7,1.3
WAY,COMP,SNH,5,1,25,7,2013,10.7,9.8,10.6,7
WAY,COMP,SSH,5,1,25,7,2013,10.1,9.5,11.1,10.8
WAY,COMP,S2H,5,1,25,7,2013,3.9,9.5,11.8,10.5
WAY,COMP,M,5,1,25,7,2013,10.6,10.3,11.8,5.3
WAY,COMP,CNH,21,1,26,7,2013,2.7,9.9,10.2,4.2
WAY,COMP,CSH,21,1,26,7,2013,1,9.9,10.3,10.1
WAY,COMP,C2H,21,1,26,7,2013,4.9,9.8,10.1,0.6
WAY,COMP,MNH,21,1,26,7,2013,0.1,9.9,10.2,3.6
WAY,COMP,MSH,21,1,26,7,2013,0.1,9.8,11.1,7.8
WAY,COMP,M2H,21,1,26,7,2013,5.3,9.6,11.6,4.8
WAY,COMP,SNH,21,1,26,7,2013,5.2,9.5,11.5,6.5
WAY,COMP,SSH,21,1,26,7,2013,6.8,9.5,11.7,4.8
WAY,COMP,S2H,21,1,26,7,2013,5.9,9.6,11.6,5.1
WAY,COMP,M,21,1,26,7,2013,5.8,9.5,11.6,4.9
WAY,COMP,CNH,25,1,26,7,2013,11.7,10.5,10,2.8
WAY,COMP,CSH,25,1,26,7,2013,13.4,10.6,9.9,5.2
WAY,COMP,C2H,25,1,26,7,2013,11.5,10.5,10.3,3.1
WAY,COMP,MNH,25,1,26,7,2013,10.9,10.4,10.3,2.1
WAY,COMP,MSH,25,1,26,7,2013,13.2,10.5,9.3,2.5
WAY,COMP,M2H,25,1,26,7,2013,17.8,10.5,9.7,2.4
WAY,COMP,SNH,25,1,26,7,2013,12.2,10.5,9.8,5.9
WAY,COMP,SSH,25,1,26,7,2013,13.1,10.3,9.9,4.8
WAY,COMP,S2H,25,1,26,7,2013,21.2,10.2,9.8,3.3
WAY,COMP,M,25,1,26,7,2013,19.9,10.2,9.8,4.2
