Tag No,Old No,T1,T2,X,Y,Family,genus,species,Old Tree Notes,"D 2013.0","POM 2013.1","F1 2013.1","F2 2013.1","Height 2013.1","F5 2013.1","F3 2013.1","F4 2013.1","LI 2013.1","CI 2013.1","Census Notes 2013.1","D 2014.2","POM 2014.2",F1,F2,"Height 2014.2",F5,F3,F4,"LI 2014.2","CI 2014.2",Tree ID,"D 2015.1","POM 2015.1",F1,F2,"Height 2015.1",F5,F3,F4,"LI 2015.1","CI 2015.1",Census Notes,Tree ID,New Tag No,"D 2016.2","POM 2014.2",F1,F2,"Height 2016.2",F5,F3,F4,"LI 2014.2","CI 2014.2","D 2017.2","POM 2014.2",F1,F2,"Height 2016.2",F5,F3,F4,"LI 2014.2","CI 2014.2"
6,,,,7,,,,,,13,1.4,,0.639235707,-1.8,,,,,,,12.81762187,1.4,,,-1.54,,,,,,,12.84396538,,,,-2.1,,,,,,,,,12.78722551,1.4,,,-1.6,,,,,,12.83788611,,,,,,,,,
10,,,,10,,,,,,17.3,1.4,,0.574563977,-0.7,,,,,,,17.22907517,1.4,,,0,,,,,,,13,,,,2.3,,,,,,,,,13.23303872,1.4,,,3.9,,,,,,13.39515262,,,,,,,,,
17,,,,8.5,,,,,,21.1,1.4,,0.639235707,1.2,,,,,,,21.22158542,1.4,,,1.25,,,,,,,13.12665148,,,,4.7,,,,,,,,,13.47620956,1.4,,,5.95,,,,,,13.60286104,,,,,,,,,
20,,,,9.5,,,,,,26.8,1.4,,0.59980802,-1.9,,,,,,,26.60748975,1.4,,,1.4,,,,,,,13.14184966,,,,1.3,,,,,,,,,13.13171754,1.4,,,0.5,,,,,,13.05066059,,,,,,,,,
23,,,,12,,,,,,50.9,1.4,,0.540014578,-2.6,,,,,,,50.63656492,1.4,,,0.64,,,,,,,13.06484556,,,,0,,,,,,,,,13,1.4,,,3.1,,,,,,13.31409567,,,,,,,,,
28,,,,12,,,,,,24.5,1.4,,0.540014578,-1,,,,,,,24.39867882,1.4,,,0,,,,,,,13,,,,1.8,,,,,,,,,13.18237813,1.4,,,3,,,,,,13.30396355,,,,,,,,,
29,,,,6,,,,,,14.8,1.4,,0.540014578,-1.8,,,,,,,14.61762187,1.4,,,0,,,,,,,13,,,,0,,,,,,,,,13,1.4,,,1.9,,,,,,13.19251025,,,,,,,,,
38,,,,9,,,,,,41,1.4,,0.639235707,-1.1,,,,,,,40.8885467,1.4,,,0,,,,,,,13,,,,0,,,,,,,,,13,1.4,,,2,,,,,,13.20264237,,,,,,,,,
42,,,,9,,,,,,17.8,1.4,,0.540014578,-1,,,,,,,17.69867882,1.4,,,0,,,,,,,13,,,,0,,,,,,,,,13,1.4,,,0,,,,,,13,,,,,,,,,
43,,,,10,,,,,,17.9,1.4,,0.540014578,-0.1,,,,,,,17.88986788,1.4,,,0,,,,,,,13,,,,0,,,,,,,,,13,1.4,,,1.35,,,,,,13.1367836,,,,,,,,,
48,,,,8,,,,,,12,1.4,,0.540014578,0,,,,,,,12,1.4,,,1.62,,,,,,,13.16414032,,,,3.42,,,,,,,,,13.34651845,1.4,,,4.55,,,,,,13.46101139,,,,,,,,,
50,,,,6,,,,,,23.7,1.4,,0.540014578,0,,,,,,,23.7,1.4,,,2.2,,,,,,,13.2229066,,,,4.34,,,,,,,,,13.43973394,1.4,,,6.3,,,,,,13.63832346,,,,,,,,,
57,,,,12,,,,,,38.8,1.4,,0.540014578,-2.4,,,,,,,38.55682916,1.4,,,0.32,,,,,,,13.03242278,,,,-2.22,,,,,,,,,12.77506697,1.4,,,-0.4,,,,,,12.95947153,,,,,,,,,
62,,,,6,,,,,,17,1.45,,0.59980802,-2.3,,,,,,,16.76696128,1.45,,,0.63,,,,,,,13.06383235,,,,0.75,,,,,,,,,13.07599089,1.45,,,11.1,,,,,,14.12466514,,,,,,,,,
70,,,,9,,,,,,18.4,1.7,,0.59980802,1.16,,,,,,,18.51753257,1.7,,,3.45,,,,,,,13.34955808,,,,6.3,,,,,,,,,13.63832346,1.7,,,9.9,,,,,,14.00307972,,,,,,,,,
75,,,,12,,,,,,22,1.35,,0.574563977,0,,,,,,,22,1.35,,,0.78,,,,,,,13.07903052,,,,3.2,,,,,,,,,13.32422779,1.35,,,3.8,,,,,,13.3850205,,,,,,,,,
85,,,,6,,,,,,11.8,1.4,,0.59980802,-1,,,,,,,11.69867882,1.4,,,0,,,,,,,13,,,,3,,,,,,,,,13.30396355,1.4,,,4.1,,,,,,13.41541685,,,,,,,,,
86,,,,9,,,,,,20.8,1.35,,0.540014578,0,,,,,,,20.8,1.35,,,0,,,,,,,13,,,,2.5,,,,,,,,,13.25330296,1.35,,,3.3,,,,,,13.33435991,,,,,,,,,
95,,,,9,,,,,,26.5,1.4,,0.651873955,0,,,,,,,26.5,1.4,,,0,,,,,,,13,,,,1.78,,,,,,,,,13.18035171,1.4,,,2.4,,,,,,13.24317084,,,,,,,,,
97,,,,6,,,,,,20.9,1.4,,0.59980802,0,,,,,,,20.9,1.4,,,0.3,,,,,,,13.03039636,,,,5.6,,,,,,,,,13.56739863,1.4,,,11.8,,,,,,14.19558997,,,,,,,,,
98,,,,12,,,,,,29.5,1.35,,0.639235707,-0.5,,,,,,,29.44933941,1.35,,,0,,,,,,,13,,,,2.5,,,,,,,,,13.25330296,1.35,,,7.45,,,,,,13.75484282,,,,,,,,,
103,,,,7,,,,,,28.1,1.35,,0.540014578,-0.3,,,,,,,28.06960364,1.35,,,0,,,,,,,13,,,,2.41,,,,,,,,,13.24418405,1.35,,,4.2,,,,,,13.42554897,,,,,,,,,
105,,,,8,,,,,,21,1.4,,0.59980802,0.9,,,,,,,21.09118907,1.4,,,1.47,,,,,,,13.14894214,,,,4.34,,,,,,,,,13.43973394,1.4,,,5.4,,,,,,13.54713439,,,,,,,,,
108,,,,6.5,,,,,,15.2,1.4,,0.574563977,-1.5,,,,,,,15.04801822,1.4,,,-0.9,,,,,,,12.90881093,,,,-2.7,,,,,,,,,12.7264328,1.4,,,-2,,,,,,12.79735763,,,,,,,,,
109,,,,5.5,,,,,,15.6,1.4,,0.574563977,1,,,,,,,15.70132118,1.4,,,1.46,,,,,,,13.14792893,,,,3.22,,,,,,,,,13.32625421,1.4,,,,,,,,,13,,,,,,,,,
111,,,,11,,,,,,39,1.5,,0.540014578,-1,,,,,,,38.89867882,1.5,,,0,,,,,,,13,,,,2.27,,,,,,,,,13.22999909,1.5,,,4.4,,,,,,13.44581321,,,,,,,,,
119,,,,9,,,,,,19,1.4,,0.59980802,-1.4,,,,,,,18.85815034,1.4,,,0,,,,,,,13,,,,0,,,,,,,,,13,1.4,,,2.05,,,,,,13.20770843,,,,,,,,,
120,,,,10,,,,,,15.4,1.4,,0.574563977,-1.4,,,,,,,15.25815034,1.4,,,-1.82,,,,,,,12.81559545,,,,-2.2,,,,,,,,,12.7770934,1.4,,,-1.85,,,,,,12.81255581,,,,,,,,,
123,,,,7,,,,,,12.1,1.4,,0.639235707,-1.1,,,,,,,11.9885467,1.4,,,-1.12,,,,,,,12.88652027,,,,0,,,,,,,,,13,1.4,,,0.65,,,,,,13.06585877,,,,,,,,,
133,,,,6,,,,,,16.5,1.4,,0.59980802,0,,,,,,,16.5,1.4,,,0.96,,,,,,,13.09726834,,,,2.77,,,,,,,,,13.28065968,1.4,,,3.8,,,,,,13.3850205,,,,,,,,,
136,,,,7.5,,,,,,16.1,1.4,,0.574563977,-1.3,,,,,,,15.96828246,1.4,,,0,,,,,,,13,,,,0,,,,,,,,,13,1.4,,,0,,,,,,13,,,,,,,,,
137,,,,6,,,,,,34,1.4,,0.639235707,-2.8,,,,,,,33.71630069,1.4,,,-2.68,,,,,,,12.72845923,,,,-3.14,,,,,,,,,12.68185148,1.4,,,-3.5,,,,,,12.64537586,,,,,,,,,
143,,,,6,,,,,,11.4,1.45,,0.59980802,-0.9,,,,,,,11.30881093,1.45,,,0,,,,,,,13,,,,0.9,,,,,,,,,13.09118907,1.45,,,2.05,,,,,,13.20770843,,,,,,,,,
144,,,,12,,,,,,16.9,1.4,,0.639235707,-0.9,,,,,,,16.80881093,1.4,,,0,,,,,,,13,,,,0,,,,,,,,,13,1.4,,,0,,,,,,13,,,,,,,,,
155,,,,8,,,,,,20.7,1.4,,0.574563977,-1.6,,,,,,,20.53788611,1.4,,,0,,,,,,,13,,,,0,,,,,,,,,13,1.4,,,-1.46,,,,,,12.85207107,,,,,,,,,
158,,,,8,,,,,,18.8,1.4,,0.59980802,-0.9,,,,,,,18.70881093,1.4,,,0,,,,,,,13,,,,0,,,,,,,,,13,1.4,,,0,,,,,,13,,,,,,,,,
159,,,,9,,,,,,18,1.4,,0.59980802,0,,,,,,,18,1.4,,,1.52,,,,,,,13.1540082,,,,3.5,,,,,,,,,13.35462414,1.4,,,5.66,,,,,,13.5734779,,,,,,,,,
162,,,,10,,,,,,17.5,1.35,,0.574563977,0,,,,,,,17.5,1.35,,,1.58,,,,,,,13.16008747,,,,4.3,,,,,,,,,13.43568109,1.35,,,7.15,,,,,,13.72444646,,,,,,,,,
163,,,,9,,,,,,30.3,1.4,,0.59980802,2.95,,,,,,,30.59889749,1.4,,,6.05,,,,,,,13.61299316,,,,10.3,,,,,,,,,14.04360819,1.4,,,14.2,,,,,,14.43876081,,,,,,,,,
168,,,,13,,,,,,30.9,1.35,,0.59980802,-0.6,,,,,,,30.83920729,1.35,,,0,,,,,,,13,,,,1.13,,,,,,,,,13.11449294,1.35,,,1.6,,,,,,13.16211389,,,,,,,,,
184,,,,9,,,,,,17,1.4,,0.430781928,5,,,,,,,17.50660592,1.4,,,7.16,,,,,,,13.72545967,,,,13.25,,,,,,,,,14.34250568,1.4,,,23.85,,,,,,15.41651023,,,,,,,,,
191,,,,10,,,,,,28.1,1.4,,0.59980802,1.8,,,,,,,28.28237813,1.4,,,3.67,,,,,,,13.37184874,,,,6.5,,,,,,,,,13.65858769,1.4,,,8.85,,,,,,13.89669248,,,,,,,,,
194,,,,10,,,,,,15.2,1.4,,0.639235707,0,,,,,,,15.2,1.4,,,1.24,,,,,,,13.12563827,,,,2.1,,,,,,,,,13.21277449,1.4,,,2.4,,,,,,13.24317084,,,,,,,,,
199,,,,9,,,,,,19.4,1.4,,0.540014578,0,,,,,,,19.4,1.4,,,0,,,,,,,13,,,,0,,,,,,,,,13,1.4,,,1.25,,,,,,13.12665148,,,,,,,,,
200,,,,9,,,,,,19.3,1.5,,0.540014578,0,,,,,,,19.3,1.5,,,0,,,,,,,13,,,,0.2,,,,,,,,,13.02026424,1.5,,,1.85,,,,,,13.18744419,,,,,,,,,
211,,,,8,,,,,,19,1.4,,0.639235707,-0.3,,,,,,,18.96960364,1.4,,,0,,,,,,,13,,,,0,,,,,,,,,13,1.4,,,0,,,,,,13,,,,,,,,,
215,,,,7,,,,,,15.7,1.4,,0.59980802,0.9,,,,,,,15.79118907,1.4,,,0,,,,,,,13,,,,1.8,,,,,,,,,13.18237813,1.4,,,2.5,,,,,,13.25330296,,,,,,,,,
229,,,,9,,,,,,20.5,1.4,,0.574563977,-1,,,,,,,20.39867882,1.4,,,-1.38,,,,,,,12.86017677,,,,-1.92,,,,,,,,,12.80546333,1.4,,,0,,,,,,13,,,,,,,,,
232,,,,8,,,,,,15.3,1.4,,0.540014578,2.9,,,,,,,15.59383143,1.4,,,5.9,,,,,,,13.59779498,,,,6.65,,,,,,,,,13.67378587,1.4,,,8.45,,,,,,13.856164,,,,,,,,,
239,,,,12,,,,,,17.9,1.35,,0.540014578,0,,,,,,,17.9,1.35,,,0,,,,,,,13,,,,1.2,,,,,,,,,13.12158542,1.35,,,-2.04,,,,,,12.79330479,,,,,,,,,
240,,,,12,,,,,,21.5,1.5,,0.574563977,-0.7,,,,,,,21.42907517,1.5,,,0,,,,,,,13,,,,-1.7,,,,,,,,,12.82775399,1.5,,,-1.02,,,,,,12.89665239,,,,,,,,,
244,,,,5,,,,,,10.2,1.4,,0.59980802,,,,,,,,10.2,1.4,,,,,,,,,,13,,,,,,,,,,,,,13,1.4,,,,,,,,,13,,,,,,,,,
249,,,,12,,,,,,10,1.4,,0.574563977,-0.8,,,,,,,9.918943053,1.4,,,0,,,,,,,13,,,,0,,,,,,,,,13,1.4,,,0.86,,,,,,13.08713622,,,,,,,,,
255,,,,5,,,,,,13,1.4,,0.59980802,-1.3,,,,,,,12.86828246,1.4,,,0,,,,,,,13,,,,0,,,,,,,,,13,1.4,,,1.44,,,,,,13.1459025,,,,,,,,,
261,,,,7,,,,,,13.2,1.4,,0.639235707,-2.1,,,,,,,12.98722551,1.4,,,-2.56,,,,,,,12.74061777,,,,-1.38,,,,,,,,,12.86017677,1.4,,,-2.44,,,,,,12.75277631,,,,,,,,,
273,,,,7,,,,,,13.9,1.35,,0.59980802,0.9,,,,,,,13.99118907,1.35,,,,,,,,,,13,,,,7.78,,,,,,,,,13.78827881,1.35,,,7.76,,,,,,13.78625239,,,,,,,,,
277,,,,7.5,,,,,,18,1.35,,0.540014578,4.4,,,,,,,18.44581321,1.35,,,,,,,,,,13,,,,9.65,,,,,,,,,13.97774942,1.35,,,14.7,,,,,,14.4894214,,,,,,,,,
286,,,,11,,,,,,10.7,1.4,,0.574563977,0,,,,,,,10.7,1.4,,,0,,,,,,,13,,,,0,,,,,,,,,13,1.4,,,0,,,,,,13,,,,,,,,,
300,,,,14,,,,,,42.5,1.4,,0.540014578,-1.6,,,,,,,42.33788611,1.4,,,-0.12,,,,,,,12.98784146,,,,1.8,,,,,,,,,13.18237813,1.4,,,3.5,,,,,,13.35462414,,,,,,,,,
301,,,,6,,,,,,18.5,1.4,,0.540014578,-0.1,,,,,,,18.48986788,1.4,,,-0.32,,,,,,,12.96757722,,,,-1,,,,,,,,,12.89867882,1.4,,,-0.65,,,,,,12.93414123,,,,,,,,,
302,,,,7,,,,,,11.4,1.4,,0.59980802,0,,,,,,,11.4,1.4,,,1.52,,,,,,,13.1540082,,,,3.6,,,,,,,,,13.36475626,1.4,,,4.8,,,,,,13.48634168,,,,,,,,,
305,,,,11,,,,,,12.6,1.4,,0.532941853,-2.4,,,,,,,12.35682916,1.4,,,-2.68,,,,,,,12.72845923,,,,-3.2,,,,,,,,,12.67577221,1.4,,,-2.56,,,,,,12.74061777,,,,,,,,,
306,,,,7,,,,,,13.8,1.4,,0.59980802,0.9,,,,,,,13.89118907,1.4,,,1.54,,,,,,,13.15603462,,,,3.12,,,,,,,,,13.31612209,1.4,,,1.8,,,,,,13.18237813,,,,,,,,,
307,,,,6,,,,,,15.4,1.5,,0.59980802,-2,,,,,,,15.19735763,1.5,,,-1.58,,,,,,,12.83991253,,,,-1.68,,,,,,,,,12.82978041,1.5,,,-1.16,,,,,,12.88246743,,,,,,,,,
310,,,,8,,,,,,10.2,1.4,,0.574563977,0,,,,,,,10.2,1.4,,,0.8,,,,,,,13.08105695,,,,2,,,,,,,,,13.20264237,1.4,,,3.08,,,,,,13.31206925,,,,,,,,,
317,,,,10,,,,,,23.1,1.35,,0.574563977,0,,,,,,,23.1,1.35,,,0,,,,,,,13,,,,0,,,,,,,,,13,1.35,,,1.62,,,,,,13.16414032,,,,,,,,,
319,,,,9,,,,,,13.6,1.4,,0.574563977,-0.9,,,,,,,13.50881093,1.4,,,0,,,,,,,13,,,,0,,,,,,,,,13,1.4,,,0,,,,,,13,,,,,,,,,
320,,,,10,,,,,,18.8,1.35,,0.59980802,-0.8,,,,,,,18.71894305,1.35,,,0,,,,,,,13,,,,1.3,,,,,,,,,13.13171754,1.35,,,2.36,,,,,,13.23911799,,,,,,,,,
324,,,,11,,,,,,19.5,1.35,,0.59980802,0,,,,,,,19.5,1.35,,,0,,,,,,,13,,,,0,,,,,,,,,13,1.35,,,1.16,,,,,,13.11753257,,,,,,,,,
330,,,,11,,,,,,20.2,1.45,,0.59980802,-0.1,,,,,,,20.18986788,1.45,,,-1.22,,,,,,,12.87638816,,,,-2.1,,,,,,,,,12.78722551,1.45,,,-1.84,,,,,,12.81356902,,,,,,,,,
334,,,,14,,,,,,19.5,1.4,,0.540014578,0,,,,,,,19.5,1.4,,,2.17,,,,,,,13.21986697,,,,3.21,,,,,,,,,13.325241,1.4,,,4.76,,,,,,13.48228883,,,,,,,,,
335,,,,12,,,,,,22.5,1.4,,0.59980802,-1.4,,,,,,,22.35815034,1.4,,,-1.52,,,,,,,12.8459918,,,,-3.49,,,,,,,,,12.64638907,1.4,,,-2.54,,,,,,12.74264419,,,,,,,,,
342,,,,10,,,,,,13.8,1.4,,0.574563977,-1,,,,,,,13.69867882,1.4,,,0,,,,,,,13,,,,0,,,,,,,,,13,1.4,,,0,,,,,,13,,,,,,,,,
346,,,,6,,,,,,11.6,1.4,,0.59980802,0,,,,,,,11.6,1.4,,,0,,,,,,,13,,,,0,,,,,,,,,13,1.4,,,-0.25,,,,,,12.9746697,,,,,,,,,
349,,,,8,,,,,,19,1.4,,0.574563977,0,,,,,,,19,1.4,,,0,,,,,,,13,,,,2.52,,,,,,,,,13.25532938,1.4,,,3.9,,,,,,13.39515262,,,,,,,,,
365,,,,7,,,,,,15.4,1.4,,0.574563977,1.9,,,,,,,15.59251025,1.4,,,3.8,,,,,,,13.3850205,,,,5,,,,,,,,,13.50660592,1.4,,,5.95,,,,,,13.60286104,,,,,,,,,
367,,,,6,,,,,,10.2,1.4,,0.59980802,0,,,,,,,10.2,1.4,,,0,,,,,,,13,,,,0,,,,,,,,,13,1.4,,,1,,,,,,13.10132118,,,,,,,,,
368,,,,8,,,,,,20.3,1.4,,0.59980802,1.7,,,,,,,20.47224601,1.4,,,4.23,,,,,,,13.42858861,,,,9.4,,,,,,,,,13.95241913,1.4,,,11.15,,,,,,14.1297312,,,,,,,,,
370,,,,12,,,,,,19.7,1.35,,0.574563977,0,,,,,,,19.7,1.35,,,1.29,,,,,,,13.13070433,,,,2.5,,,,,,,,,13.25330296,1.35,,,3.45,,,,,,13.34955808,,,,,,,,,
371,,,,10,,,,,,12,1.4,,0.574563977,1.2,,,,,,,12.12158542,1.4,,,0.37,,,,,,,13.03748884,,,,4,,,,,,,,,13.40528473,1.4,,,5.75,,,,,,13.58259681,,,,,,,,,
376,,,,11,,,,,,15,1.4,,0.430781928,-1.5,,,,,,,14.84801822,1.4,,,0,,,,,,,13,,,,1.1,,,,,,,,,13.1114533,1.4,,,1.35,,,,,,13.1367836,,,,,,,,,
378,,,,15,,,,,,22.3,1.4,,0.574563977,0,,,,,,,22.3,1.4,,,1.32,,,,,,,13.13374396,,,,0.91,,,,,,,,,13.09220228,1.4,,,0.1,,,,,,13.01013212,,,,,,,,,
379,,,,12,,,,,,11.6,1.4,,0.574563977,0,,,,,,,11.6,1.4,,,1.97,,,,,,,13.19960273,,,,1.98,,,,,,,,,13.20061594,1.4,,,2.3,,,,,,13.23303872,,,,,,,,,
380,,,,11,,,,,,17.7,1.4,,0.540014578,0,,,,,,,17.7,1.4,,,0,,,,,,,13,,,,0.2,,,,,,,,,13.02026424,1.4,,,2.8,,,,,,13.28369931,,,,,,,,,
392,,,,9,,,,,,22.9,1.35,,0.59980802,0,,,,,,,22.9,1.35,,,0,,,,,,,13,,,,0.87,,,,,,,,,13.08814943,1.35,,,3.15,,,,,,13.31916173,,,,,,,,,
396,,,,13,,,,,,30,1.4,,0.540014578,-3.7,,,,,,,29.62511162,1.4,,,-2.2,,,,,,,12.7770934,,,,0,,,,,,,,,13,1.4,,,3.75,,,,,,13.37995444,,,,,,,,,
399,,,,7,,,,,,27.8,1.35,,0.59980802,0,,,,,,,27.8,1.35,,,0,,,,,,,13,,,,0,,,,,,,,,13,1.35,,,0,,,,,,13,,,,,,,,,
400,,,,10,,,,,,13,1.4,,0.540014578,-0.1,,,,,,,12.98986788,1.4,,,0,,,,,,,13,,,,1.9,,,,,,,,,13.19251025,1.4,,,3.1,,,,,,13.31409567,,,,,,,,,
402,,,,10,,,,,,27.2,1.45,,0.540014578,-0.6,,,,,,,27.13920729,1.45,,,0,,,,,,,13,,,,0,,,,,,,,,13,1.45,,,2.15,,,,,,13.21784054,,,,,,,,,
417,,,,8,,,,,,13.3,1.4,,0.59980802,0.9,,,,,,,13.39118907,1.4,,,0.33,,,,,,,13.03343599,,,,2.5,,,,,,,,,13.25330296,1.4,,,0.15,,,,,,13.01519818,,,,,,,,,
418,,,,10,,,,,,17.7,1.4,,0.574563977,0.2,,,,,,,17.72026424,1.4,,,2.3,,,,,,,13.23303872,,,,3.5,,,,,,,,,13.35462414,1.4,,,4.8,,,,,,13.48634168,,,,,,,,,
424,,,,9,,,,,,11.2,1.4,,0.574563977,1.3,,,,,,,11.33171754,1.4,,,2.64,,,,,,,13.26748792,,,,3.34,,,,,,,,,13.33841275,1.4,,,4.75,,,,,,13.48127562,,,,,,,,,
425,,,,10,,,,,,14.5,1.4,,0.574563977,0,,,,,,,14.5,1.4,,,1.82,,,,,,,13.18440455,,,,4.2,,,,,,,,,13.42554897,1.4,,,7.1,,,,,,13.7193804,,,,,,,,,
429,,,,12,,,,,,18.7,1.4,,0.574563977,1.2,,,,,,,18.82158542,1.4,,,2.54,,,,,,,13.25735581,,,,2.6,,,,,,,,,13.26343508,1.4,,,3.5,,,,,,13.35462414,,,,,,,,,
430,,,,13,,,,,,13,1.4,,0.574563977,0,,,,,,,13,1.4,,,0.81,,,,,,,13.08207016,,,,0.91,,,,,,,,,13.09220228,1.4,,,1.1,,,,,,13.1114533,,,,,,,,,
433,,,,9,,,,,,14.5,1.5,,0.540014578,0,,,,,,,14.5,1.5,,,-,,,,,,,NA,,,,0,,,,,,,,,13,1.5,,,0,,,,,,13,,,,,,,,,
419,,,,5,,,,,,13,1.4,,0.59980802,1.1,,,,,,,13.1114533,1.4,,,1.12,,,,,,,13.11347973,,,,2.16,,,,,,,,,13.21885376,1.4,,,3.2,,,,,,13.32422779,,,,,,,,,
440,,,,12,,,,,,25,1.4,,0.59980802,0,,,,,,,25,1.4,,,1.32,,,,,,,13.13374396,,,,5.32,,,,,,,,,13.5390287,1.4,,,13.4,,,,,,14.35770386,,,,,,,,,
