Tag No,Old No,T1,T2,X,Y,Family,genus,species,Old Tree Notes,"D 2013.0","POM 2013.1","F1 2013.1","F2 2013.1","Height 2013.1","F5 2013.1","F3 2013.1","F4 2013.1","LI 2013.1","CI 2013.1","Census Notes 2013.1","D 2014.2","POM 2014.2",F1,F2,"Height 2014.2",F5,F3,F4,"LI 2014.2","CI 2014.2",Tree ID,"D 2015.1","POM 2015.1",F1,F2,"Height 2015.1",F5,F3,F4,"LI 2015.1","CI 2015.1",Census Notes,Tree ID,New Tag No,"D 2016.2","POM 2014.2",F1,F2,"Height 2016.2",F5,F3,F4,"LI 2014.2","CI 2014.2","D 2017.2","POM 2014.2",F1,F2,"Height 2016.2",F5,F3,F4,"LI 2014.2","CI 2014.2"
444,,,,8,,,,,,17.7,1.35,,0.59980802,5,,,,,,,18.20660592,1.35,,,8.14,,,,,,,13.82475443,,,,13.5,,,,,,,,,14.36783598,1.35,,,17.8,,,,,,14.80351707,,,,,,,,,
445,,,,6,,,,,,13.5,1.4,,0.430781928,4.9,,,,,,,13.9964738,1.4,,,7.19,,,,,,,13.72849931,,,,13.2,,,,,,,,,14.33743962,1.4,,,23.25,,,,,,15.35571752,,,,,,,,,
446,,,,8,,,,,,32,1.4,,0.59980802,-1.7,,,,,,,31.82775399,1.4,,,-0.88,,,,,,,12.91083736,,,,-2.11,,,,,,,,,12.7862123,1.4,,,-1.65,,,,,,12.83282005,,,,,,,,,
447,,,,9,,,,,,17.1,1.9,,0.574563977,0,,,,,,,17.1,1.9,,,0,,,,,,,13,,,,0,,,,,,,,,13,1.9,,,1.35,,,,,,13.1367836,,,,,,,,,
449,,,,6,,,,,,11.4,1.35,,0.59980802,-1.9,,,,,,,11.20748975,1.35,,,-1.72,,,,,,,12.82572756,,,,-2.4,,,,,,,,,12.75682916,1.35,,,-2.25,,,,,,12.77202734,,,,,,,,,
453,,,,15,,,,,,36,1.35,,0.574563977,0,,,,,,,36,1.35,,,0,,,,,,,13,,,,0,,,,,,,,,13,1.35,,,1.1,,,,,,13.1114533,,,,,,,,,
458,,,,9,,,,,,38.9,1.4,,0.59980802,-2.4,,,,,,,38.65682916,1.4,,,0,,,,,,,13,,,,0,,,,,,,,,13,1.4,,,-1.25,,,,,,12.87334852,,,,,,,,,
468,,,,7,,,,,,18.3,1.4,,0.59980802,0,,,,,,,18.3,1.4,,,0.49,,,,,,,13.04964738,,,,2.12,,,,,,,,,13.21480091,1.4,,,3.7,,,,,,13.37488838,,,,,,,,,
470,,,,9,,,,,,19.9,1.4,,0.639235707,0,,,,,,,19.9,1.4,,,0,,,,,,,13,,,,-1.8,,,,,,,,,12.81762187,1.4,,,-0.8,,,,,,12.91894305,,,,,,,,,
472,,,,9,,,,,,12,1.5,,0.574563977,-1,,,,,,,11.89867882,1.5,,,0,,,,,,,13,,,,0,,,,,,,,,13,1.5,,,1,,,,,,13.10132118,,,,,,,,,
474,,,,7,,,,,,9.9,1.4,,0.59980802,-1,,,,,,,9.798678816,1.4,,,0,,,,,,,13,,,,0,,,,,,,,,13,1.4,,,0.8,,,,,,13.08105695,,,,,,,,,
476,,,,8,,,,,,23.5,1.5,,0.574563977,-0.8,,,,,,,23.41894305,1.5,,,0,,,,,,,13,,,,0,,,,,,,,,13,1.5,,,1,,,,,,13.10132118,,,,,,,,,
479,,,,8,,,,,,15.5,1.4,,0.574563977,-1.3,,,,,,,15.36828246,1.4,,,0,,,,,,,13,,,,0,,,,,,,,,13,1.4,,,0.55,,,,,,13.05572665,,,,,,,,,
481,,,,8,,,,,,26,1.35,,0.59980802,0,,,,,,,26,1.35,,,1.63,,,,,,,13.16515353,,,,1.72,,,,,,,,,13.17427244,1.35,,,1.8,,,,,,13.18237813,,,,,,,,,
484,,,,5,,,,,,12.8,1.35,,0.59980802,-0.9,,,,,,,12.70881093,1.35,,,-1.08,,,,,,,12.89057312,,,,-2.3,,,,,,,,,12.76696128,1.35,,,-1.5,,,,,,12.84801822,,,,,,,,,
486,,,,7,,,,,,13.9,1.4,,0.574563977,-1.1,,,,,,,13.7885467,1.4,,,0,,,,,,,13,,,,0,,,,,,,,,13,1.4,,,0,,,,,,13,,,,,,,,,
487,,,,6,,,,,,15,1.35,,0.430781928,1,,,,,,,15.10132118,1.35,,,2.56,,,,,,,13.25938223,,,,5.4,,,,,,,,,13.54713439,1.35,,,7.7,,,,,,13.78017311,,,,,,,,,
489,,,,12.5,,,,,,23.2,1.4,,0.540014578,-1,,,,,,,23.09867882,1.4,,,-2.1,,,,,,,12.78722551,,,,-3.3,,,,,,,,,12.66564009,1.4,,,-2.05,,,,,,12.79229157,,,,,,,,,
490,,,,13,,,,,,24.5,1.4,,0.639235707,-0.8,,,,,,,24.41894305,1.4,,,1.45,,,,,,,13.14691572,,,,3.44,,,,,,,,,13.34854487,1.4,,,4.45,,,,,,13.45087927,,,,,,,,,
492,,,,10,,,,,,22.7,1.35,,0.540014578,-1.2,,,,,,,22.57841458,1.35,,,-1.18,,,,,,,12.880441,,,,0,,,,,,,,,13,1.35,,,-0.65,,,,,,12.93414123,,,,,,,,,
503,,,,8,,,,,,15.8,1.4,,0.540014578,-0.9,,,,,,,15.70881093,1.4,,,0,,,,,,,13,,,,1.17,,,,,,,,,13.11854578,1.4,,,3.05,,,,,,13.30902961,,,,,,,,,
506,,,,10,,,,,,20.5,1.4,,0.540014578,0,,,,,,,20.5,1.4,,,0,,,,,,,13,,,,0.1,,,,,,,,,13.01013212,1.4,,,1.15,,,,,,13.11651936,,,,,,,,,
509,,,,12,,,,,,21.4,1.5,,0.639235707,0,,,,,,,21.4,1.5,,,1.18,,,,,,,13.119559,,,,1.2,,,,,,,,,13.12158542,1.5,,,3.8,,,,,,13.3850205,,,,,,,,,
511,,,,15,,,,,,26.7,1.35,,0.540014578,-1.5,,,,,,,26.54801822,1.35,,,-1.11,,,,,,,12.88753349,,,,-2.4,,,,,,,,,12.75682916,1.35,,,-1.3,,,,,,12.86828246,,,,,,,,,
512,,,,12,,,,,,17.5,1.4,,0.574563977,-2.5,,,,,,,17.24669704,1.4,,,-2.1,,,,,,,12.78722551,,,,-1.7,,,,,,,,,12.82775399,1.4,,,0,,,,,,13,,,,,,,,,
516,,,,12,,,,,,18.6,1.4,,0.639235707,0,,,,,,,18.6,1.4,,,0.92,,,,,,,13.09321549,,,,2.41,,,,,,,,,13.24418405,1.4,,,5.14,,,,,,13.52079088,,,,,,,,,
521,,,,6,,,,,,16,1.4,,0.59980802,1.1,,,,,,,16.1114533,1.4,,,1.44,,,,,,,13.1459025,,,,1.92,,,,,,,,,13.19453667,1.4,,,3.92,,,,,,13.39717904,,,,,,,,,
525,,,,8,,,,,,22.1,1.4,,0.639235707,-2.2,,,,,,,21.8770934,1.4,,,-1.78,,,,,,,12.81964829,,,,-2.37,,,,,,,,,12.75986879,1.4,,,-3.22,,,,,,12.67374579,,,,,,,,,
528,,,,15,,,,,,24,1.4,,0.639235707,0,,,,,,,24,1.4,,,0,,,,,,,13,,,,0,,,,,,,,,13,1.4,,,0,,,,,,13,,,,,,,,,
536,,,,11,,,,,,23.4,1.4,,0.639235707,1,,,,,,,23.50132118,1.4,,,3.94,,,,,,,13.39920546,,,,4.23,,,,,,,,,13.42858861,1.4,,,7.78,,,,,,13.78827881,,,,,,,,,
546,,,,9,,,,,,25.9,1.4,,0.540014578,-1.6,,,,,,,25.73788611,1.4,,,0,,,,,,,13,,,,-2.5,,,,,,,,,12.74669704,1.4,,,-2.52,,,,,,12.74467062,,,,,,,,,
550,,,,5,,,,,,12.5,1.4,,0.59980802,1.5,,,,,,,12.65198178,1.4,,,2.69,,,,,,,13.27255398,,,,5,,,,,,,,,13.50660592,1.4,,,6.44,,,,,,13.65250842,,,,,,,,,
554,,,,6,,,,,,18,1.35,,0.574563977,0,,,,,,,18,1.35,,,0,,,,,,,13,,,,0,,,,,,,,,13,1.35,,,-1.44,,,,,,12.8540975,,,,,,,,,
555,,,,7,,,,,,16.3,1.4,,0.532941853,-1,,,,,,,16.19867882,1.4,,,-0.9,,,,,,,12.90881093,,,,-2,,,,,,,,,12.79735763,1.4,,,-1.9,,,,,,12.80748975,,,,,,,,,
569,,,,12,,,,,,20.8,1.5,,0.639235707,0.9,,,,,,,20.89118907,1.5,,,2.68,,,,,,,13.27154077,,,,5.7,,,,,,,,,13.57753075,1.5,,,7.7,,,,,,13.78017311,,,,,,,,,
571,,,,13,,,,,,13,1.4,,0.540014578,0,,,,,,,13,1.4,,,0,,,,,,,13,,,,0,,,,,,,,,13,1.4,,,0.08,,,,,,13.00810569,,,,,,,,,
574,,,,10,,,,,,19.8,1.4,,0.574563977,-0.8,,,,,,,19.71894305,1.4,,,-0.24,,,,,,,12.97568292,,,,0,,,,,,,,,13,1.4,,,0,,,,,,13,,,,,,,,,
586,,,,12,,,,,,15.9,1.4,,0.540014578,-0.7,,,,,,,15.82907517,1.4,,,0,,,,,,,13,,,,0,,,,,,,,,13,1.4,,,1.3,,,,,,13.13171754,,,,,,,,,
598,,,,7,,,,,,12.4,1.5,,0.59980802,0,,,,,,,12.4,1.5,,,1.32,,,,,,,13.13374396,,,,2.29,,,,,,,,,13.23202551,1.5,,,4.38,,,,,,13.44378678,,,,,,,,,
604,,,,6.5,,,,,,13.6,1.35,,0.59980802,1.1,,,,,,,13.7114533,1.35,,,2.78,,,,,,,13.28167289,,,,5.11,,,,,,,,,13.51775125,1.35,,,7.4,,,,,,13.74977676,,,,,,,,,
606,,,,8,,,,,,13.6,1.4,,0.574563977,0,,,,,,,13.6,1.4,,,0,,,,,,,13,,,,0,,,,,,,,,13,1.4,,,0,,,,,,13,,,,,,,,,
611,,,,8,,,,,,14.1,1.35,,0.59980802,1.4,,,,,,,14.24184966,1.35,,,2.96,,,,,,,13.2999107,,,,6.33,,,,,,,,,13.64136309,1.35,,,6.8,,,,,,13.68898405,,,,,,,,,
614,,,,9,,,,,,16.9,1.35,,0.574563977,-1.5,,,,,,,16.74801822,1.35,,,-1.44,,,,,,,12.8540975,,,,-0.24,,,,,,,,,12.97568292,1.35,,,-1.75,,,,,,12.82268793,,,,,,,,,
616,,,,8,,,,,,12.9,1.4,,0.430781928,-0.6,,,,,,,12.83920729,1.4,,,0,,,,,,,13,,,,,,,,,,,,,13,1.4,,,6.12,,,,,,13.62008564,,,,,,,,,
624,,,,5,,,,,,10.5,1.5,,0.59980802,-1.2,,,,,,,10.37841458,1.5,,,0,,,,,,,13,,,,,,,,,,,,,13,1.5,,,,,,,,,13,,,,,,,,,
626,,,,5,,,,,,15.5,1.4,,0.574563977,0,,,,,,,15.5,1.4,,,0,,,,,,,13,,,,,,,,,,,,,13,1.4,,,,,,,,,13,,,,,,,,,
631,,,,7,,,,,,13.6,1.4,,0.639235707,-1,,,,,,,13.49867882,1.4,,,0.54,,,,,,,13.05471344,,,,,,,,,,,,,13,1.4,,,0,,,,,,13,,,,,,,,,
641,,,,11,,,,,,13.2,1.4,,0.4468375,0.6,,,,,,,13.26079271,1.4,,,0,,,,,,,13,,,,1.21,,,,,,,,,13.12259863,1.4,,,1.12,,,,,,13.11347973,,,,,,,,,
644,,,,8,,,,,,17.7,1.4,,0.430781928,4.2,,,,,,,18.12554897,1.4,,,3.92,,,,,,,13.39717904,,,,7.27,,,,,,,,,13.73660501,1.4,,,12.62,,,,,,14.27867334,,,,,,,,,
647,,,,10,,,,,,11,1.4,,0.574563977,0,,,,,,,11,1.4,,,0,,,,,,,13,,,,0,,,,,,,,,13,1.4,,,2.88,,,,,,13.29180501,,,,,,,,,
650,,,,15,,,,,,18.9,1.5,,0.4468375,0.3,,,,,,,18.93039636,1.5,,,0,,,,,,,13,,,,0,,,,,,,,,13,1.5,,,0,,,,,,13,,,,,,,,,
653,,,,6,,,,,,10.4,1.35,,0.4468375,5,,,,,,,10.90660592,1.35,,,0.77,,,,,,,13.07801731,,,,1.15,,,,,,,,,13.11651936,1.35,,,19.2,,,,,,14.94536673,,,,,,,,,
660,,,,8,,,,,,10.1,1.35,,0.574563977,0,,,,,,,10.1,1.35,,,0,,,,,,,13,,,,0,,,,,,,,,13,1.35,,,0,,,,,,13,,,,,,,,,
663,,,,11,,,,,,21.6,1.4,,0.574563977,-0.58,,,,,,,21.54123371,1.4,,,0,,,,,,,13,,,,1.62,,,,,,,,,13.16414032,1.4,,,1.56,,,,,,13.15806105,,,,,,,,,
664,,,,12,,,,,,18.2,1.4,,0.574563977,0,,,,,,,18.2,1.4,,,1.54,,,,,,,13.15603462,,,,1.14,,,,,,,,,13.11550615,1.4,,,-1.4,,,,,,12.85815034,,,,,,,,,
672,,,,14,,,,,,26.5,1.5,,0.574563977,0,,,,,,,26.5,1.5,,,2.44,,,,,,,13.24722369,,,,5.4,,,,,,,,,13.54713439,1.5,,,10.09,,,,,,14.02233074,,,,,,,,,
674,,,,14,,,,,,14,1.4,,0.574563977,0,,,,,,,14,1.4,,,1.22,,,,,,,13.12361184,,,,3.17,,,,,,,,,13.32118815,1.4,,,4.34,,,,,,13.43973394,,,,,,,,,
676,,,,10,,,,,,16,1.4,,0.574563977,1,,,,,,,16.10132118,1.4,,,2.66,,,,,,,13.26951435,,,,3.97,,,,,,,,,13.4022451,1.4,,,4.72,,,,,,13.47823599,,,,,,,,,
678,,,,9,,,,,,18.2,1.4,,0.430781928,2,,,,,,,18.40264237,1.4,,,2.9,,,,,,,13.29383143,,,,4.69,,,,,,,,,13.47519635,1.4,,,7.26,,,,,,13.73559179,,,,,,,,,
681,,,,13,,,,,,11.9,1.4,,0.574563977,0.1,,,,,,,11.91013212,1.4,,,1.32,,,,,,,13.13374396,,,,3.51,,,,,,,,,13.35563735,1.4,,,4.4,,,,,,13.44581321,,,,,,,,,
686,,,,10,,,,,,23,1.4,,0.430781928,-1.3,,,,,,,22.86828246,1.4,,,0,,,,,,,13,,,,-1.6,,,,,,,,,12.83788611,1.4,,,0,,,,,,13,,,,,,,,,
691,,,,7,,,,,,11.2,1.5,,0.540014578,0,,,,,,,11.2,1.5,,,1.69,,,,,,,13.1712328,,,,3.96,,,,,,,,,13.40123189,1.5,,,4.72,,,,,,13.47823599,,,,,,,,,
692,,,,8,,,,,,13.3,1.4,,0.574563977,-1.06,,,,,,,13.19259955,1.4,,,-0.9,,,,,,,12.90881093,,,,0,,,,,,,,,13,1.4,,,-1.3,,,,,,12.86828246,,,,,,,,,
718,,,,6,,,,,,11.2,1.4,,0.430781928,0,,,,,,,11.2,1.4,,,0,,,,,,,13,,,,0,,,,,,,,,13,1.4,,,0,,,,,,13,,,,,,,,,
720,,,,12,,,,,,20.2,1.5,,0.574563977,0,,,,,,,20.2,1.5,,,0,,,,,,,13,,,,0,,,,,,,,,13,1.5,,,1.5,,,,,,13.15198178,,,,,,,,,
726,,,,5,,,,,,15.2,1.35,,0.669763013,-3.6,,,,,,,14.83524374,1.35,,,-1.46,,,,,,,12.85207107,,,,0,,,,,,,,,13,1.35,,,1.3,,,,,,13.13171754,,,,,,,,,
731,,,,14,,,,,,37.5,1.4,,0.59980802,-4.4,,,,,,,37.05418679,1.4,,,0,,,,,,,13,,,,-0.16,,,,,,,,,12.98378861,1.4,,,0,,,,,,13,,,,,,,,,
732,,,,14,,,,,,19,1.4,,0.430781928,-1.9,,,,,,,18.80748975,1.4,,,-2.02,,,,,,,12.79533121,,,,-3,,,,,,,,,12.69603645,1.4,,,-1.76,,,,,,12.82167472,,,,,,,,,
734,,,,6,,,,,,12,1.35,,0.430781928,0,,,,,,,12,1.35,,,0,,,,,,,13,,,,0,,,,,,,,,13,1.35,,,1.72,,,,,,13.17427244,,,,,,,,,
737,,,,17,,,,,,35.7,1.35,,0.59980802,0,,,,,,,35.7,1.35,,,0.82,,,,,,,13.08308337,,,,3.22,,,,,,,,,13.32625421,1.35,,,2.54,,,,,,13.25735581,,,,,,,,,
741,,,,6,,,,,,15.7,1.4,,0.430781928,0,,,,,,,15.7,1.4,,,2.55,,,,,,,13.25836902,,,,3.61,,,,,,,,,13.36576947,1.4,,,5.36,,,,,,13.54308154,,,,,,,,,
748,,,,16,,,,,,13.4,1.35,,0.4468375,0,,,,,,,13.4,1.35,,,1.22,,,,,,,13.12361184,,,,1.79,,,,,,,,,13.18136492,1.35,,,-12.4,,,,,,11.74361732,,,,,,,,,
750,,,,12,,,,,,33.8,1.5,,0.59980802,0,,,,,,,33.8,1.5,,,0,,,,,,,13,,,,0,,,,,,,,,13,1.5,,,,,,,,,13,,,,,,,,,
753,,,,12,,,,,,16.5,1.4,,0.4468375,0,,,,,,,16.5,1.4,,,0,,,,,,,13,,,,0,,,,,,,,,13,1.4,,,3,,,,,,13.30396355,,,,,,,,,
754,,,,7,,,,,,15.2,1.45,,0.430781928,,,,,,,,15.2,1.45,,,,,,,,,,13,,,,,,,,,,,,,13,1.45,,,,,,,,,13,,,,,,,,,
755,,,,6,,,,,,19.6,1.4,,0.430781928,0,,,,,,,19.6,1.4,,,0.84,,,,,,,13.08510979,,,,2.53,,,,,,,,,13.25634259,1.4,,,2.58,,,,,,13.26140865,,,,,,,,,
761,,,,12,,,,,,34.2,1.5,,0.430781928,2.1,,,,,,,34.41277449,1.5,,,4.24,,,,,,,13.42960182,,,,7.31,,,,,,,,,13.74065785,1.5,,,12,,,,,,14.2158542,,,,,,,,,
763,,,,15,,,,,,23,1.4,,0.574563977,0,,,,,,,23,1.4,,,1.95,,,,,,,13.19757631,,,,2.35,,,,,,,,,13.23810478,1.4,,,2.5,,,,,,13.25330296,,,,,,,,,
764,,,,18,,,,,,39.3,1.4,,0.430781928,0,,,,,,,39.3,1.4,,,0,,,,,,,13,,,,1.4,,,,,,,,,13.14184966,1.4,,,2.15,,,,,,13.21784054,,,,,,,,,
770,,,,11,,,,,,11.1,1.4,,0.574563977,0,,,,,,,11.1,1.4,,,1.29,,,,,,,13.13070433,,,,2.16,,,,,,,,,13.21885376,1.4,,,5.98,,,,,,13.60590068,,,,,,,,,
771,,,,8,,,,,,16.3,1.4,,0.574563977,1.2,,,,,,,16.42158542,1.4,,,1.14,,,,,,,13.11550615,,,,1.28,,,,,,,,,13.12969112,1.4,,,0,,,,,,13,,,,,,,,,
776,,,,14,,,,,,18.2,1.5,,0.540014578,1.3,,,,,,,18.33171754,1.5,,,3.4,,,,,,,13.34449202,,,,5.32,,,,,,,,,13.5390287,1.5,,,8.08,,,,,,13.81867516,,,,,,,,,
777,,,,12,,,,,,25.5,1.35,,0.574563977,-1.2,,,,,,,25.37841458,1.35,,,-1.4,,,,,,,12.85815034,,,,0,,,,,,,,,13,1.35,,,1.06,,,,,,13.10740045,,,,,,,,,
784,,,,6,,,,,,11.2,1.4,,0.540014578,1.1,,,,,,,11.3114533,1.4,,,2.84,,,,,,,13.28775216,,,,5.83,,,,,,,,,13.5907025,1.4,,,6.36,,,,,,13.64440273,,,,,,,,,
792,,,,8,,,,,,11.3,1.4,,0.540014578,-2.2,,,,,,,11.0770934,1.4,,,-1.04,,,,,,,12.89462597,,,,-1.04,,,,,,,,,12.89462597,1.4,,,3.08,,,,,,13.31206925,,,,,,,,,
794,,,,7.5,,,,,,10.5,1.4,,0.59980802,0,,,,,,,10.5,1.4,,,0,,,,,,,13,,,,0,,,,,,,,,13,1.4,,,0,,,,,,13,,,,,,,,,
796,,,,13,,,,,,37.4,1.5,,0.540014578,-2.3,,,,,,,37.16696128,1.5,,,-0.04,,,,,,,12.99594715,,,,-0.04,,,,,,,,,12.99594715,1.5,,,2.78,,,,,,13.28167289,,,,,,,,,
799,,,,5,,,,,,10.7,1.4,,0.574563977,0,,,,,,,10.7,1.4,,,-1.42,,,,,,,12.85612392,,,,-1.3,,,,,,,,,12.86828246,1.4,,,-1.5,,,,,,12.84801822,,,,,,,,,
803,,,,5,,,,,,19,1.4,,0.59980802,0,,,,,,,19,1.4,,,0,,,,,,,13,,,,0,,,,,,,,,13,1.4,,,0,,,,,,13,,,,,,,,,
808,,,,8,,,,,,12.2,1.4,,0.574563977,-1.1,,,,,,,12.0885467,1.4,,,0,,,,,,,13,,,,0,,,,,,,,,13,1.4,,,0,,,,,,13,,,,,,,,,
824,,,,6,,,,,,11.8,1.4,,0.540014578,0,,,,,,,11.8,1.4,,,0.2,,,,,,,13.02026424,,,,1.39,,,,,,,,,13.14083645,1.4,,,1.75,,,,,,13.17731207,,,,,,,,,
827,,,,7,,,,,,11.2,1.35,,0.532941853,-1.2,,,,,,,11.07841458,1.35,,,-1.22,,,,,,,12.87638816,,,,0,,,,,,,,,13,1.35,,,-1.5,,,,,,12.84801822,,,,,,,,,
828,,,,7,,,,,,25.8,1.35,,0.639235707,0.26,,,,,,,25.82634351,1.35,,,-0.08,,,,,,,12.99189431,,,,-3.1,,,,,,,,,12.68590433,1.35,,,-2.1,,,,,,12.78722551,,,,,,,,,
830,,,,5.5,,,,,,9.9,1.35,,0.59980802,0,,,,,,,9.9,1.35,,,0.08,,,,,,,13.00810569,,,,2,,,,,,,,,13.20264237,1.35,,,3.25,,,,,,13.32929385,,,,,,,,,
832,,,,5,,,,,,12.8,1.4,,0.574563977,-1,,,,,,,12.69867882,1.4,,,0,,,,,,,13,,,,1.6,,,,,,,,,13.16211389,1.4,,,3.65,,,,,,13.36982232,,,,,,,,,
835,,,,5,,,,,,10.3,1.4,,0.733252036,0,,,,,,,10.3,1.4,,,0,,,,,,,13,,,,-0.9,,,,,,,,,12.90881093,1.4,,,-0.2,,,,,,12.97973576,,,,,,,,,
836,,,,5,,,,,,13.9,1.4,,0.639235707,1.8,,,,,,,14.08237813,1.4,,,1,,,,,,,13.10132118,,,,2.8,,,,,,,,,13.28369931,1.4,,,3.95,,,,,,13.40021868,,,,,,,,,
839,,,,8,,,,,,11.6,1.4,,0.540014578,0,,,,,,,11.6,1.4,,,1.1,,,,,,,13.1114533,,,,1.91,,,,,,,,,13.19352346,1.4,,,3.22,,,,,,13.32625421,,,,,,,,,
840,,,,8,,,,,,19.5,1.4,,0.540014578,0.9,,,,,,,19.59118907,1.4,,,2.74,,,,,,,13.27762004,,,,5.2,,,,,,,,,13.52687015,1.4,,,8.1,,,,,,13.82070159,,,,,,,,,
843,,,,7,,,,,,9.9,1.35,,0.59980802,0,,,,,,,9.9,1.35,,,0,,,,,,,13,,,,0,,,,,,,,,13,1.35,,,0,,,,,,13,,,,,,,,,
844,,,,7,,,,,,10.1,1.5,,0.574563977,0,,,,,,,10.1,1.5,,,0,,,,,,,13,,,,0,,,,,,,,,13,1.5,,,-0.8,,,,,,12.91894305,,,,,,,,,
851,,,,5,,,,,,11.7,1.4,,0.733252036,-1.4,,,,,,,11.55815034,1.4,,,-2.3,,,,,,,12.76696128,,,,-1.47,,,,,,,,,12.85105786,1.4,,,-2.5,,,,,,12.74669704,,,,,,,,,
852,,,,10,,,,,,15.8,1.4,,0.540014578,-0.1,,,,,,,15.78986788,1.4,,,2,,,,,,,13.20264237,,,,4.33,,,,,,,,,13.43872073,1.4,,,7.75,,,,,,13.78523917,,,,,,,,,
